"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Bootleggers.d:20","Отвали.","Отвали.","","","dia_bootlegger1_perm_07_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Bootleggers.d:44","Если охота почесать языком - поговори с боссом.","Если охота почесать языком - поговори с боссом.","","","dia_bootlegger2_perm_07_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Bootleggers.d:70","Все разговоры - с боссом. А ко мне не лезь.","Все разговоры - с боссом. А ко мне не лезь.","","","dia_bootlegger3_perm_07_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:19","Кто тут у нас? Птичка залетела в чужую клетку? Ха-ха.","Кто тут у нас? Птичка залетела в чужую клетку? Ха-ха.","","","dia_chief_start_01_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:20","Что тебе тут нужно?","Что тебе тут нужно?","","","dia_chief_start_01_01","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:22","Да я просто грибы собираю...","Да я просто грибы собираю...","","","dia_chief_start.dia_chief_start_noreason","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:24","У меня письмо от Вино.","У меня письмо от Вино.","","","dia_chief_start.dia_chief_start_vino","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:31","Да я просто грибы собираю...","Да я просто грибы собираю...","","","dia_chief_start_noreason_03_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:33","Да я просто грибы собираю...","Да я просто грибы собираю...","","","dia_chief_start_noreason_07_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:35","Да я просто грибы собираю...","Да я просто грибы собираю...","","","dia_chief_start_noreason_10_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:37","Да я просто грибы собираю...","Да я просто грибы собираю...","","","dia_chief_start_noreason_14_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:39","Да я просто грибы собираю...","Да я просто грибы собираю...","","","dia_chief_start_noreason_16_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:41","Ах, грибочки ищешь? Ну конечно!","Ах, грибочки ищешь? Ну конечно!","","","dia_chief_start_noreason_01_01","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:42","Нечего мне мозги пудрить!","Нечего мне мозги пудрить!","","","dia_chief_start_noreason_01_02","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:44","Ребята, разберитесь тут!","Ребята, разберитесь тут!","","","dia_chief_start_noreason_01_03","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:56","У меня письмо от Вино.","У меня письмо от Вино.","","","dia_chief_start_vino_03_00","",""
"Scripts/Content/Story/Dialoge/OUT/DIA_BDT_Chief.d:58","У меня письмо от Вино.","У меня письмо от Вино.","","","dia_chief_start_vino_07_00","",""
