"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:14","Могу я узнать, почему вы здесь, мастер?","Могу я узнать, почему вы здесь, мастер?","","","dia_daron_start_odo.description","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:24","Могу я узнать, почему вы здесь, мастер?","Могу я узнать, почему вы здесь, мастер?","","","dia_daron_start_odo_03_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:25","Я несу слова Инноса людям и собираю пожертвования.","Я несу слова Инноса людям и собираю пожертвования.","","","dia_daron_start_odo_10_01","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:26","Из-за своих обязанностей я редко появляюсь в стенах Монастыря.","Из-за своих обязанностей я редко появляюсь в стенах Монастыря.","","","dia_daron_start_odo_10_02","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:35","Я могу помочь вам?","Я могу помочь вам?","","","dia_daron_mr_perm_odo.description","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:46","Я могу помочь вам?","Я могу помочь вам?","","","dia_daron_mr_perm_odo_03_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:47","Нет, послушник. Занимайся своими обязанностями.","Нет, послушник. Занимайся своими обязанностями.","","","dia_daron_mr_perm_odo_10_01","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:57","Я хочу пожертвоваmь...","Я хочу пожертвоваmь...","","","dia_daron_donate.description","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:67","Я хочу пожертвоваmь...","Я хочу пожертвоваmь...","","","dia_daron_donate_03_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:69","Я хочу пожертвоваmь...","Я хочу пожертвоваmь...","","","dia_daron_donate_07_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:71","Я хочу пожертвоваmь...","Я хочу пожертвоваmь...","","","dia_daron_donate_10_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:73","Я хочу пожертвоваmь...","Я хочу пожертвоваmь...","","","dia_daron_donate_14_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:75","Я хочу пожертвоваmь...","Я хочу пожертвоваmь...","","","dia_daron_donate_16_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:78","...когда у меня будут деньги.","...когда у меня будут деньги.","","","dia_daron_donate.dia_daron_donate0","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:80","...10 золотых.","...10 золотых.","","","dia_daron_donate.dia_daron_donate10","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:83","...50 золотых.","...50 золотых.","","","dia_daron_donate.dia_daron_donate50","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:86","...100 золотых.","...100 золотых.","","","dia_daron_donate.dia_daron_donate100","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:92","...когда у меня будут деньги.","...когда у меня будут деньги.","","","dia_daron_donate0_03_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:94","...когда у меня будут деньги.","...когда у меня будут деньги.","","","dia_daron_donate0_07_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:96","...когда у меня будут деньги.","...когда у меня будут деньги.","","","dia_daron_donate0_10_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:98","...когда у меня будут деньги.","...когда у меня будут деньги.","","","dia_daron_donate0_14_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:100","...когда у меня будут деньги.","...когда у меня будут деньги.","","","dia_daron_donate0_16_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:102","Возвращайся и помни - Иннос всегда рядом.","Возвращайся и помни - Иннос всегда рядом.","","","dia_daron_donate0_10_01","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:112","...10 золотых.","...10 золотых.","","","dia_daron_donate10_03_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:114","...10 золотых.","...10 золотых.","","","dia_daron_donate10_07_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:116","...10 золотых.","...10 золотых.","","","dia_daron_donate10_10_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:118","...10 золотых.","...10 золотых.","","","dia_daron_donate10_14_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:120","...10 золотых.","...10 золотых.","","","dia_daron_donate10_16_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:122","Даже скромное пожертвование приближает тебя к Инносу.","Даже скромное пожертвование приближает тебя к Инносу.","","","dia_daron_donate10_10_01","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:132","...50 золотых.","...50 золотых.","","","dia_daron_donate50_03_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:134","...50 золотых.","...50 золотых.","","","dia_daron_donate50_07_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:136","...50 золотых.","...50 золотых.","","","dia_daron_donate50_10_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:138","...50 золотых.","...50 золотых.","","","dia_daron_donate50_14_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:140","...50 золотых.","...50 золотых.","","","dia_daron_donate50_16_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:142","Твое пожертвование вернется к тебе сторицей.","Твое пожертвование вернется к тебе сторицей.","","","dia_daron_donate50_10_01","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:152","...100 золотых.","...100 золотых.","","","dia_daron_donate100_03_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:154","...100 золотых.","...100 золотых.","","","dia_daron_donate100_07_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:156","...100 золотых.","...100 золотых.","","","dia_daron_donate100_10_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:158","...100 золотых.","...100 золотых.","","","dia_daron_donate100_14_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:160","...100 золотых.","...100 золотых.","","","dia_daron_donate100_16_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Daron.d:162","С благословлением Инноса ступай по своему пути!","С благословлением Инноса ступай по своему пути!","","","dia_daron_donate100_10_01","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Gorax.d:16","Вы хотели меня видеть, мастер?","Вы хотели меня видеть, мастер?","","","dia_gorax_odo_hasjob.description","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Gorax.d:27","Вы хотели меня видеть, мастер?","Вы хотели меня видеть, мастер?","","","dia_gorax_odo_hasjob_03_00","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Gorax.d:28","Да. Неорас хорошо отзывался о твоих способностях, поэтому я хочу поручить тебе одно задание.","Да. Неорас хорошо отзывался о твоих способностях, поэтому я хочу поручить тебе одно задание.","","","dia_gorax_odo_hasjob_14_01","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Gorax.d:29","Тем более, что ты все равно часто уходишь за стены Монастыря в поисках трав.","Тем более, что ты все равно часто уходишь за стены Монастыря в поисках трав.","","","dia_gorax_odo_hasjob_14_02","",""
"Scripts/Content/Story/Dialoge/Monastery/DIA_KDF_Gorax.d:30","К делу. Приближается зима, и нашей обители необходимы кое-какие запасы.","К делу. Приближается зима, и нашей обители необходимы кое-какие запасы.","","","dia_gorax_odo_hasjob_14_03","",""
