"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:13","Ты продаешь сено?","Ты продаешь сено?","","","dia_akil_odo_straw.description","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:23","Ты продаешь сено?","Ты продаешь сено?","","","dia_akil_odo_straw_03_00","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:24","Да. Отдам по 14 золотых. Ни у кого дешевле не найдешь!","Да. Отдам по 14 золотых. Ни у кого дешевле не найдешь!","","","dia_akil_odo_straw_13_01","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:35","Как дела на твоей ферме?","Как дела на твоей ферме?","","","dia_akil_mr_perm.description","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:41","Как дела на твоей ферме?","Как дела на твоей ферме?","","","dia_akil_mr_perm_03_00","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:43","Как дела на твоей ферме?","Как дела на твоей ферме?","","","dia_akil_mr_perm_07_00","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:45","Как дела на твоей ферме?","Как дела на твоей ферме?","","","dia_akil_mr_perm_10_00","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:47","Как дела на твоей ферме?","Как дела на твоей ферме?","","","dia_akil_mr_perm_14_00","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:49","Как дела на твоей ферме?","Как дела на твоей ферме?","","","dia_akil_mr_perm_16_00","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:51","Кабаны разрыли и затоптали часть поля.","Кабаны разрыли и затоптали часть поля.","","","dia_akil_mr_perm_13_01","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Akil.d:52","Но в остальном все в порядке.","Но в остальном все в порядке.","","","dia_akil_mr_perm_13_02","",""
"Scripts/Content/Story/Dialoge/Farms/DIA_BAU_Balthasar.d:15","Как наши овечки?","Как наши овечки?","","","dia_balthasar_till_howoursheep.description","",""
