"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Story_Globals.d:527","Темный гриб","Темный гриб","","","mr_names[0]","",""
"Scripts/Content/Story/Story_Globals.d:528","Пища рудокопа","Пища рудокопа","","","mr_names[1]","",""
"Scripts/Content/Story/Story_Globals.d:529","Каменка","Каменка","","","mr_names[2]","",""
"Scripts/Content/Story/Story_Globals.d:530","Зорьник","Зорьник","","","mr_names[3]","",""
"Scripts/Content/Story/Story_Globals.d:531","Туманник","Туманник","","","mr_names[4]","",""
"Scripts/Content/Story/Story_Globals.d:532","Сосновик","Сосновик","","","mr_names[5]","",""
"Scripts/Content/Story/Story_Globals.d:533","Болтун","Болтун","","","mr_names[6]","",""
"Scripts/Content/Story/Story_Globals.d:534","Бутылочник","Бутылочник","","","mr_names[7]","",""
"Scripts/Content/Story/Story_Globals.d:535","Масляк","Масляк","","","mr_names[8]","",""
"Scripts/Content/Story/Story_Globals.d:536","Ракушечник","Ракушечник","","","mr_names[9]","",""
"Scripts/Content/Story/Story_Globals.d:537","Губернатор","Губернатор","","","mr_names[10]","",""
"Scripts/Content/Story/Story_Globals.d:538","Кабанчик","Кабанчик","","","mr_names[11]","",""
"Scripts/Content/Story/Story_Globals.d:539","Веточник","Веточник","","","mr_names[12]","",""
"Scripts/Content/Story/Story_Globals.d:540","Дамское ушко","Дамское ушко","","","mr_names[13]","",""
"Scripts/Content/Story/Story_Globals.d:541","Трезубец","Трезубец","","","mr_names[14]","",""
"Scripts/Content/Story/Story_Globals.d:542","Ночные искры","Ночные искры","","","mr_names[15]","",""
"Scripts/Content/Story/Story_Globals.d:543","Драконовы слезы","Драконовы слезы","","","mr_names[16]","",""
"Scripts/Content/Story/Story_Globals.d:544","Гриб-сердце","Гриб-сердце","","","mr_names[17]","",""
"Scripts/Content/Story/Story_Globals.d:545","Золотая чаша","Золотая чаша","","","mr_names[18]","",""
"Scripts/Content/Story/Story_Globals.d:546","Плющевик","Плющевик","","","mr_names[19]","",""
"Scripts/Content/Story/Story_Globals.d:547","Белиарова поганка","Белиарова поганка","","","mr_names[20]","",""
"Scripts/Content/Story/Story_Globals.d:577","За темные грибы Константино заплатит по ","За темные грибы Константино заплатит по ","","","topic_constantinomushrooms_comment[0]","",""
"Scripts/Content/Story/Story_Globals.d:577"," золотых."," золотых.","","","topic_constantinomushrooms_comment[1]","",""
"Scripts/Content/Story/Story_Globals.d:578","Мясной гриб Константино оценил в ","Мясной гриб Константино оценил в ","","","topic_constantinomushrooms_comment[2]","",""
"Scripts/Content/Story/Story_Globals.d:578"," золотых монет."," золотых монет.","","","topic_constantinomushrooms_comment[3]","",""
"Scripts/Content/Story/Story_Globals.d:579","За каменку можно получить ","За каменку можно получить ","","","topic_constantinomushrooms_comment[4]","",""
"Scripts/Content/Story/Story_Globals.d:579"," золотых."," золотых.","","","topic_constantinomushrooms_comment[5]","",""
"Scripts/Content/Story/Story_Globals.d:580"," золотых."," золотых.","","","topic_constantinomushrooms_comment[7]","",""
