"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:14","Привет, Лен!","Witaj, Len!","","False","dia_elena_mr_hello_till.description","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:24","Привет, Лен!","Witaj, Len!","","False","dia_elena_mr_hello_till_14_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:25","Привет, Тилл! А ты вырос.","Witaj, Till! Wyrosłeś.","","False","dia_elena_mr_hello_till_16_01","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:26","Ты тоже грибы собираешь?","Ty też na grzybach?","","False","dia_elena_mr_hello_till_14_02","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:27","Ага.","Ano tak.","","False","dia_elena_mr_hello_till_16_03","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:35","Ты участвуешь в грибном конкурсе?","Bierzesz udział w konkursie na grzyby?","","False","dia_elena_mr_hello.description","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:46","Ты участвуешь в грибном конкурсе?","Bierzesz udział w konkursie na grzyby?","","False","dia_elena_mr_hello_03_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:48","Ты участвуешь в грибном конкурсе?","Bierzesz udział w konkursie na grzyby?","","False","dia_elena_mr_hello_07_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:50","Ты участвуешь в грибном конкурсе?","Bierzesz udział w konkursie na grzyby?","","False","dia_elena_mr_hello_10_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:52","Ты участвуешь в грибном конкурсе?","Bierzesz udział w konkursie na grzyby?","","False","dia_elena_mr_hello_16_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:54","Да. Я неплохо знаю лес вокруг нашей фермы.","Tak. Las wokół naszej farmy znam jak własną kieszeń.","","False","dia_elena_mr_hello_16_01","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:56","Ты же дочь землевладельца Онара?","Nie jesteś czasem córką Onara?","","False","dia_elena_mr_hello_03_02","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:58","Ты же дочь землевладельца Онара?","Nie jesteś czasem córką Onara?","","False","dia_elena_mr_hello_07_02","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:60","Ты же дочь землевладельца Онара?","Nie jesteś czasem córką Onara?","","False","dia_elena_mr_hello_10_02","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:62","Ты же дочь землевладельца Онара?","Nie jesteś czasem córką Onara?","","False","dia_elena_mr_hello_16_02","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:64","Верно.","Zgadza się.","","False","dia_elena_mr_hello_16_03","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:72","Есть для меня совет?","Masz dla mnie jakąś radę?","","False","dia_elena_advice.description","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:78","Есть для меня совет?","Masz dla mnie jakąś radę?","","False","dia_elena_advice_03_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:80","Есть для меня совет?","Masz dla mnie jakąś radę?","","False","dia_elena_advice_07_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:82","Есть для меня совет?","Masz dla mnie jakąś radę?","","False","dia_elena_advice_10_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:84","Есть для меня совет?","Masz dla mnie jakąś radę?","","False","dia_elena_advice_14_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:86","Есть для меня совет?","Masz dla mnie jakąś radę?","","False","dia_elena_advice_16_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:88","Внимательно смотри в траве и под деревьями. Грибы обычно не растут посреди дороги.","Szukaj w trawie i pod drzewami. Grzyby zazwyczaj nie rosnął pośrodku drogi.","","False","dia_elena_advice_16_01","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:96","Продашь мне свои грибы?","Sprzedasz mi swoje grzyby?","","False","dia_elena_pretrade.description","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:101","Продашь мне свои грибы?","Sprzedasz mi swoje grzyby?","","False","dia_elena_pretrade_03_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:103","Продашь мне свои грибы?","Sprzedasz mi swoje grzyby?","","False","dia_elena_pretrade_07_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:105","Продашь мне свои грибы?","Sprzedasz mi swoje grzyby?","","False","dia_elena_pretrade_10_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:107","Продашь мне свои грибы?","Sprzedasz mi swoje grzyby?","","False","dia_elena_pretrade_14_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:109","Продашь мне свои грибы?","Sprzedasz mi swoje grzyby?","","False","dia_elena_pretrade_16_00","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:111","Нет. Это будет нечестно.","Nie. To by nie było uczciwe.","","False","dia_elena_pretrade_16_01","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:132","Тебе удалось обойти меня в конкурсе!","Udało ci się pobić mnie w konkursie!","","False","dia_elena_after_herowon_16_01","",""
"Scripts/Content/Story/Dialoge/PC/DIA_PC_Elena.d:137","И не только тебе.","I nie tylko ciebie.","","False","dia_elena_after_herowon_16_02","",""
