"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Log_Entries/B_Achievements.d:4","Достижения","","","False","topic_achieve","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:5","КАПРИЗНАЯ ДЕВИЦА","","","False","topic_achieve_elena_capriciousgirl_title","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:6","заставили Брайана переплавить кольца обратно.","","","False","topic_achieve_elena_capriciousgirl_content","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:8","ШОПОГОЛИК","","","False","topic_achieve_elena_shopoholic_title","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:9","нашли все возможные варианты подарка для родителей.","","","False","topic_achieve_elena_shopoholic_content","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:11","ТРАВНИК","","","False","topic_achieve_till_teamaster_title","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:12","собрали весь горичай.","","","False","topic_achieve_till_teamaster_content","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:14","АКУШЕР","","","False","topic_achieve_till_accoucheur_title","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:15","успешно приняли роды у Крестика.","","","False","topic_achieve_till_accoucheur_content","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:17","СКОРНЯК","","","False","topic_achieve_talbin_furrier_title","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:18","собрали все виды шкур.","","","False","topic_achieve_talbin_furrier_content","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:20","СЛЕДОПЫТ","","","False","topic_achieve_talbin_ranger_title","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:21","нашли все следы белого волка.","","","False","topic_achieve_talbin_ranger_content","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:23","МАСТЕР МЕЧА","","","False","topic_achieve_rupert_swordmaster_title","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:24","получили рудный меч и оставили его себе.","","","False","topic_achieve_rupert_swordmaster_content","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:26","МОТ","","","False","topic_achieve_rupert_waster_title","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:27","пропили с Регисом все заработанные деньги.","","","False","topic_achieve_rupert_waster_content","",""
"Scripts/Content/Story/Log_Entries/B_Achievements.d:29","АРХЕОЛОГ","","","False","topic_achieve_erol_archeologist_title","",""
